frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
191,6375.3,15,13,884,,,,,,,12,901,482,,,,,,,15,968,543,,,,,,,14,765,868,,,,,,
192,6407.5,15,14,885,,,,,,,12,900,481,,,,,,,14,967,542,,,,,,,14,765,868,,,,,,
193,6443.1,15,14,885,,,,,,,12,900,480,,,,,,,14,967,541,,,,,,,14,765,868,,,,,,
194,6478.3,15,13,884,,,,,,,12,899,479,,,,,,,14,967,539,,,,,,,14,765,868,,,,,,
195,6507.3,15,12,884,,,,,,,12,898,477,,,,,,,14,966,536,,,,,,,14,765,868,,,,,,
196,6542.9,15,13,884,,,,,,,12,898,475,,,,,,,14,965,535,,,,,,,14,765,868,,,,,,
197,6574.9,15,13,884,,,,,,,12,897,473,,,,,,,14,965,532,,,,,,,14,765,868,,,,,,
198,6607.4,15,12,884,,,,,,,12,896,472,,,,,,,14,964,531,,,,,,,14,765,868,,,,,,
199,6642.8,15,12,884,,,,,,,12,895,470,,,,,,,14,963,529,,,,,,,14,765,868,,,,,,
200,6676.4,15,13,884,,,,,,,12,895,469,,,,,,,14,962,528,,,,,,,14,765,868,,,,,,
201,6707.6,15,14,885,,,,,,,12,894,468,,,,,,,14,962,526,,,,,,,15,765,868,,,,,,
202,6743.0,15,13,884,,,,,,,12,894,467,,,,,,,14,961,525,,,,,,,14,765,868,,,,,,
203,6775.1,15,13,884,,,,,,,12,893,466,,,,,,,14,960,523,,,,,,,14,765,868,,,,,,
204,6807.4,15,12,884,,,,,,,12,892,465,,,,,,,14,960,522,,,,,,,15,765,868,,,,,,
205,6842.8,15,14,885,,,,,,,12,892,463,,,,,,,14,960,520,,,,,,,15,765,868,,,,,,
206,6875.4,15,12,884,,,,,,,12,891,462,,,,,,,14,959,519,,,,,,,14,765,868,,,,,,
207,6910.5,15,12,884,,,,,,,12,891,461,,,,,,,14,959,517,,,,,,,14,765,868,,,,,,
208,6943.7,15,13,884,,,,,,,12,890,460,,,,,,,14,958,516,,,,,,,14,765,868,,,,,,
209,6978.7,15,13,884,,,,,,,12,890,458,,,,,,,15,958,515,,,,,,,14,765,868,,,,,,
210,7012.5,15,13,884,,,,,,,12,889,457,,,,,,,15,957,513,,,,,,,14,765,868,,,,,,
211,7045.1,15,12,884,,,,,,,12,888,456,,,,,,,14,955,512,,,,,,,14,765,868,,,,,,
212,7075.2,15,13,884,,,,,,,12,887,454,,,,,,,14,955,509,,,,,,,14,765,868,,,,,,
213,7108.0,15,13,884,,,,,,,12,886,452,,,,,,,14,954,507,,,,,,,14,765,868,,,,,,
214,7143.2,15,13,884,,,,,,,12,885,450,,,,,,,14,953,505,,,,,,,14,765,868,,,,,,
215,7175.1,16,13,885,,,,,,,12,884,448,,,,,,,14,952,503,,,,,,,14,765,868,,,,,,
216,7209.2,15,14,885,,,,,,,12,884,446,,,,,,,14,951,502,,,,,,,14,765,868,,,,,,
217,7242.6,15,13,884,,,,,,,12,883,445,,,,,,,14,951,499,,,,,,,14,765,868,,,,,,
218,7274.7,15,14,884,,,,,,,12,882,444,,,,,,,14,950,498,,,,,,,14,765,868,,,,,,
